Collection,DocumentId,Field,OriginalUrl,Error
"products_v2","6a23ebf2e3922eaccd8e6d7e","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebf2e3922eaccd8e6d7e","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ebf2e3922eaccd8e6d7e","documents.3.url","https://drive.google.com/file/d/1Q3Oh-lT1gDLfQipw6rkjeQMTgesXw-6t/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec00e3922eaccd8e6ddc","images.main.url","https://aptghana.com/api/image/SK12_32_52_Helical inline gear block.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec00e3922eaccd8e6ddc","documents.0.url","https://drive.google.com/file/d/1LYvSi2CdxXW7DnYPUirLGI8wAJnGaenv/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec00e3922eaccd8e6ddc","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec00e3922eaccd8e6ddc","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec00e3922eaccd8e6ddc","documents.3.url","https://drive.google.com/file/d/1p7KhwgOYO-o2vAXyV90FPs0tyI_5PRR-/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec09e3922eaccd8e6e19","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec09e3922eaccd8e6e19","documents.0.url","https://drive.google.com/file/d/1ByW8XmlBGjTPo2w5lrNoV4HmhzI4zYE-/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec09e3922eaccd8e6e19","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec09e3922eaccd8e6e19","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec09e3922eaccd8e6e19","documents.3.url","https://drive.google.com/file/d/1EXYqgwIVIo_TRsyD86AwbiJI9WFgRtOD/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec10e3922eaccd8e6e44","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec10e3922eaccd8e6e44","documents.0.url","https://drive.google.com/file/d/1iVcjsMg2RxAU986JDbcQS1EM8nfnsIpd/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec10e3922eaccd8e6e44","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec10e3922eaccd8e6e44","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec10e3922eaccd8e6e44","documents.3.url","https://drive.google.com/file/d/1vGZl5RRvAfYn_pNYmxj-19iiz14pvkk-/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec1ee3922eaccd8e6e95","documents.0.url","https://media.camozzi.com/pdf/ENG.1.8.5.pdf","HTTP 403 Forbidden"
"products_v2","6a23ec51e3922eaccd8e6fce","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec51e3922eaccd8e6fce","documents.0.url","https://drive.google.com/file/d/1Bcs2keESUWZyMjlCIJlJu4uC2lNuX_qk/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec51e3922eaccd8e6fce","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec51e3922eaccd8e6fce","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec51e3922eaccd8e6fce","documents.3.url","https://drive.google.com/file/d/1JwAWyH9m3X3BjPmZZTDPhBmjvs4xkVtU/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec61e3922eaccd8e702f","images.main.url","https://aptghana.com/api/image/SK12_32_52_Helical inline gear block.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec61e3922eaccd8e702f","documents.0.url","https://drive.google.com/file/d/1SlshXbwp95aje7m1-YbqHGbAY0Bcj9Kb/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec61e3922eaccd8e702f","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec61e3922eaccd8e702f","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec61e3922eaccd8e702f","documents.3.url","https://drive.google.com/file/d/1kN9eM6ONLmBItFSCjf9oNf64tAmXEoIC/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec7ee3922eaccd8e70e4","documents.0.url","https://media.camozzi.com/pdf/ENG.1.8.5.pdf","HTTP 403 Forbidden"
"products_v2","6a23ec8ce3922eaccd8e711a","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec8ce3922eaccd8e711a","documents.0.url","https://drive.google.com/file/d/1S2CI8h8KJYq6cj0IGRdQPGFfxUdpmcio/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec8ce3922eaccd8e711a","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec8ce3922eaccd8e711a","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec99e3922eaccd8e716d","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec99e3922eaccd8e716d","documents.0.url","https://drive.google.com/file/d/1Uc1ihMvDZ0RkKTCurQPFWipomVHp6Vpn/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec99e3922eaccd8e716d","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec99e3922eaccd8e716d","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec99e3922eaccd8e716d","documents.3.url","https://drive.google.com/file/d/1cHO9p4iMM7lePCO2qkE8flKyE2Yzeq3A/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9be3922eaccd8e7175","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec9be3922eaccd8e7175","documents.0.url","https://drive.google.com/file/d/1Ldz08BNNGViMZ3SOnwzVUA5jeqr_6twa/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9be3922eaccd8e7175","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9be3922eaccd8e7175","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9be3922eaccd8e7175","documents.3.url","https://drive.google.com/file/d/1xYugWbUMXYVr0t5itTVY5HQdXKW8TGMI/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9ce3922eaccd8e717d","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec9ce3922eaccd8e717d","documents.0.url","https://drive.google.com/file/d/1EAmLlp-WBazbTW4y03b8-BmmUuaysh0W/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9ce3922eaccd8e717d","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9ce3922eaccd8e717d","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9ce3922eaccd8e717d","documents.3.url","https://drive.google.com/file/d/1crYBOSXGFeqdZruV1FzNNF_IyUNzig52/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9de3922eaccd8e7185","images.main.url","https://aptghana.com/api/image/HELICAL-BEVEL-GEARED-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec9de3922eaccd8e7185","documents.0.url","https://drive.google.com/file/d/1eBzd1_5k54yqzYj8ExRlArxY2o9S7-vQ/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9de3922eaccd8e7185","documents.1.url","https://drive.google.com/file/d/1VUb0_saEF8oc2iK8SggeIZEhhhYH72i9/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9de3922eaccd8e7185","documents.2.url","https://drive.google.com/file/d/1h74gAOlcXdU6j8Czv6-djp37K7uvZL-K/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9de3922eaccd8e7185","documents.3.url","https://drive.google.com/file/d/1I18qrmkttUKkevOc-ASYnl3WGHpWugeW/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9ee3922eaccd8e718d","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec9ee3922eaccd8e718d","documents.0.url","https://drive.google.com/file/d/162qWGml-Ow0R5vOi7Lg_K_KyI32sa-SP/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9ee3922eaccd8e718d","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9ee3922eaccd8e718d","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9ee3922eaccd8e718d","documents.3.url","https://drive.google.com/file/d/1-u2ZDSB0EBQryau3JCaWdKLcqQ6Ypn_c/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23ec9fe3922eaccd8e7194","images.main.url","https://aptghana.com/api/image/simplex-sprocket-2.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23ec9fe3922eaccd8e7194","documents.0.url","https://drive.google.com/file/d/1gjaS2dKH8doZCZhfwLTPxxHxZGgUgwdk/view?usp=sharing","Non-downloadable content-type: text/html"
"products_v2","6a23eca1e3922eaccd8e71a4","images.main.url","https://aptghana.com/api/image/HELICAL-BEVEL-GEARED-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23eca1e3922eaccd8e71a4","documents.0.url","https://drive.google.com/file/d/1tRQu5aCxv-D6ej-08Fa41heVGByt5duT/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca1e3922eaccd8e71a4","documents.1.url","https://drive.google.com/file/d/1VUb0_saEF8oc2iK8SggeIZEhhhYH72i9/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca1e3922eaccd8e71a4","documents.2.url","https://drive.google.com/file/d/1h74gAOlcXdU6j8Czv6-djp37K7uvZL-K/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca1e3922eaccd8e71a4","documents.3.url","https://drive.google.com/file/d/1Z6Ij8qpP043GKOLSoTbXMQlBMkpgb46H/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca7e3922eaccd8e71cd","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23eca7e3922eaccd8e71cd","documents.0.url","https://drive.google.com/file/d/1jOv73KETnuUUfzVoftz8E8K79FQi45i-/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca7e3922eaccd8e71cd","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca7e3922eaccd8e71cd","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca7e3922eaccd8e71cd","documents.3.url","https://drive.google.com/file/d/1Paxnz7zJ4WjV8WyJj1khwOVGLeRPb9Pw/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca8e3922eaccd8e71d5","images.main.url","https://aptghana.com/api/image/HELICAL-INLINE-GEARS-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23eca8e3922eaccd8e71d5","documents.0.url","https://drive.google.com/file/d/1466cut6wXyROymeHXCy5eXmWKkAOmKVw/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca8e3922eaccd8e71d5","documents.1.url","https://drive.google.com/file/d/1JIZ72sXf9Q9qFUwm-apQQvgGZl4bHU_J/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca8e3922eaccd8e71d5","documents.2.url","https://drive.google.com/file/d/1iaA7thULbaxuHgBp_d2urDtS-TJCFA-6/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca8e3922eaccd8e71d5","documents.3.url","https://drive.google.com/file/d/1YT4dUGN0Zj4Xd5d0G7Qm9BI3GpyrrM8K/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca9e3922eaccd8e71dd","images.main.url","https://aptghana.com/api/image/HELICAL-BEVEL-GEARED-MOTOR-300x300.jpg","Non-downloadable content-type: undefined"
"products_v2","6a23eca9e3922eaccd8e71dd","documents.0.url","https://drive.google.com/file/d/1DygMe8IlTRplZi35Y008AWomBs72lYsR/view?usp=drivesdk","Non-downloadable content-type: text/html"
"products_v2","6a23eca9e3922eaccd8e71dd","documents.1.url","https://drive.google.com/file/d/1VUb0_saEF8oc2iK8SggeIZEhhhYH72i9/view?usp=drivesdk","Non-downloadable content-type: text/html"
